id,organization_id,transaction_id,line_number,entity_id,line_type,description,quantity,unit_amount,line_amount,discount_amount,tax_amount,smart_code,smart_code_status,ai_confidence,ai_classification,ai_insights,line_data,created_at,updated_at,created_by,updated_by,version,line_amount_base
3780fa28-a950-46d3-9289-c4384699a5dd,378f24fb-d496-4ff7-8afa-ea34895a0eb8,7f0ee877-ba9c-4548-b716-64399b75d251,1,b834fb76-a8ed-4e48-b60e-7290833c60c1,SERVICE,Kerasmooth,1.00000000,900.00000000,900.00000000,0.00000000,0.00000000,HERA.SALON.APPOINTMENT.TXN.BOOKED.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""quantity"": 1, ""entity_id"": ""b834fb76-a8ed-4e48-b60e-7290833c60c1"", ""line_type"": ""service"", ""description"": ""Kerasmooth"", ""line_amount"": 900, ""unit_amount"": 900}",2025-10-21 11:22:53.605914+00,2025-10-21 11:22:53.605914+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,900.00
f6442a4b-392d-47af-85dd-81accbd24854,378f24fb-d496-4ff7-8afa-ea34895a0eb8,d01ea109-df5e-4a19-b14c-fec803f4bb8e,1,b834fb76-a8ed-4e48-b60e-7290833c60c1,SERVICE,Kerasmooth,1.00000000,900.00000000,900.00000000,0.00000000,0.00000000,HERA.SALON.APPOINTMENT.TXN.BOOKED.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""quantity"": 1, ""entity_id"": ""b834fb76-a8ed-4e48-b60e-7290833c60c1"", ""line_type"": ""service"", ""description"": ""Kerasmooth"", ""line_amount"": 900, ""unit_amount"": 900}",2025-10-21 11:32:40.595763+00,2025-10-21 11:32:40.595763+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,900.00
46e65d13-0c24-4242-8851-99966bdaf75e,378f24fb-d496-4ff7-8afa-ea34895a0eb8,ceafbe6e-8459-4310-ad57-5d9f7605f3b5,1,8270ef88-a7d3-4d8b-b580-87f8f436e410,SERVICE,Hair Spa - Full Blow Dry,1.00000000,200.00000000,200.00000000,0.00000000,0.00000000,HERA.SALON.APPOINTMENT.TXN.BOOKED.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""quantity"": 1, ""entity_id"": ""8270ef88-a7d3-4d8b-b580-87f8f436e410"", ""line_type"": ""service"", ""description"": ""Hair Spa - Full Blow Dry"", ""line_amount"": 200, ""unit_amount"": 200}",2025-10-21 12:31:23.06066+00,2025-10-21 12:31:23.06066+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,200.00
52d16f21-b396-4420-9d5f-761e3cbe0893,378f24fb-d496-4ff7-8afa-ea34895a0eb8,b187a64a-0e62-4358-8206-c71504c7ee96,1,b834fb76-a8ed-4e48-b60e-7290833c60c1,SERVICE,Kerasmooth,1.00000000,900.00000000,900.00000000,0.00000000,0.00000000,HERA.SALON.APPOINTMENT.TXN.BOOKED.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""quantity"": 1, ""entity_id"": ""b834fb76-a8ed-4e48-b60e-7290833c60c1"", ""line_type"": ""service"", ""description"": ""Kerasmooth"", ""line_amount"": 900, ""unit_amount"": 900}",2025-10-24 13:08:33.564958+00,2025-10-24 13:08:33.564958+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,900.00
3d990b66-bb60-4731-b4e4-d6607b2729c1,378f24fb-d496-4ff7-8afa-ea34895a0eb8,ba7aca4f-9883-4912-999b-70e5d3b149e7,1,e3cce367-1dea-446c-b257-04690169099a,SERVICE,Toning,1.00000000,250.00000000,250.00000000,0.00000000,0.00000000,HERA.SALON.APPOINTMENT.TXN.BOOKED.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""quantity"": 1, ""entity_id"": ""e3cce367-1dea-446c-b257-04690169099a"", ""line_type"": ""service"", ""description"": ""Toning"", ""line_amount"": 250, ""unit_amount"": 250}",2025-10-25 10:21:57.859044+00,2025-10-25 10:21:57.859044+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,250.00
aafbc31a-fc1e-495d-8861-bba702a4db46,378f24fb-d496-4ff7-8afa-ea34895a0eb8,ba7aca4f-9883-4912-999b-70e5d3b149e7,2,629a3c13-6644-43b5-9218-938cfb4fcc14,SERVICE,Hair cut,1.00000000,200.00000000,200.00000000,0.00000000,0.00000000,HERA.SALON.APPOINTMENT.TXN.BOOKED.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""quantity"": 1, ""entity_id"": ""629a3c13-6644-43b5-9218-938cfb4fcc14"", ""line_type"": ""service"", ""description"": ""Hair cut"", ""line_amount"": 200, ""unit_amount"": 200}",2025-10-25 10:21:57.859044+00,2025-10-25 10:21:57.859044+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,200.00
a3147b03-cfd9-4f4e-b9ae-80e45c0b8871,378f24fb-d496-4ff7-8afa-ea34895a0eb8,5622fc6c-e03f-4af0-bc2d-d6c1a1d2aa75,1,9d0470ae-b08e-4811-be23-a23709a70363,SERVICE,Waist Length Hair,1.00000000,1050.00000000,1050.00000000,0.00000000,0.00000000,HERA.SALON.APPOINTMENT.TXN.BOOKED.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""quantity"": 1, ""entity_id"": ""9d0470ae-b08e-4811-be23-a23709a70363"", ""line_type"": ""service"", ""description"": ""Waist Length Hair"", ""line_amount"": 1050, ""unit_amount"": 1050}",2025-10-25 10:47:22.877051+00,2025-10-25 10:47:22.877051+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,1050.00
0ffd8c50-dc68-4d7c-9914-12d84d3f16ec,378f24fb-d496-4ff7-8afa-ea34895a0eb8,5622fc6c-e03f-4af0-bc2d-d6c1a1d2aa75,2,b834fb76-a8ed-4e48-b60e-7290833c60c1,SERVICE,Kerasmooth,1.00000000,900.00000000,900.00000000,0.00000000,0.00000000,HERA.SALON.APPOINTMENT.TXN.BOOKED.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""quantity"": 1, ""entity_id"": ""b834fb76-a8ed-4e48-b60e-7290833c60c1"", ""line_type"": ""service"", ""description"": ""Kerasmooth"", ""line_amount"": 900, ""unit_amount"": 900}",2025-10-25 10:47:22.877051+00,2025-10-25 10:47:22.877051+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,900.00
f9369eb9-0be9-48de-84f0-d59f08e6b48c,378f24fb-d496-4ff7-8afa-ea34895a0eb8,ff8cc11a-e829-4c2e-889e-dd4d49532cef,1,9d0470ae-b08e-4811-be23-a23709a70363,SERVICE,Waist Length Hair,1.00000000,1050.00000000,1050.00000000,0.00000000,0.00000000,HERA.SALON.TXN.SALE.CREATE.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""metadata"": {""staff_id"": ""b5fc250f-f9e3-4a4f-a69c-af44e44caf39"", ""appointment_id"": ""5622fc6c-e03f-4af0-bc2d-d6c1a1d2aa75""}, ""quantity"": 1, ""entity_id"": ""9d0470ae-b08e-4811-be23-a23709a70363"", ""line_type"": ""service"", ""smart_code"": ""HERA.SALON.TXN.SERVICE.COMPLETE.V1"", ""description"": ""Waist Length Hair"", ""line_amount"": 1050, ""line_number"": 1, ""unit_amount"": 1050, ""discount_amount"": 0}",2025-10-25 10:49:58.213573+00,2025-10-25 10:49:58.213573+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,1050.00
3e1f648f-bc64-4c20-924e-40d04a9664c4,378f24fb-d496-4ff7-8afa-ea34895a0eb8,ff8cc11a-e829-4c2e-889e-dd4d49532cef,2,b834fb76-a8ed-4e48-b60e-7290833c60c1,SERVICE,Kerasmooth,1.00000000,900.00000000,900.00000000,0.00000000,0.00000000,HERA.SALON.TXN.SALE.CREATE.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""metadata"": {""staff_id"": ""b5fc250f-f9e3-4a4f-a69c-af44e44caf39"", ""appointment_id"": ""5622fc6c-e03f-4af0-bc2d-d6c1a1d2aa75""}, ""quantity"": 1, ""entity_id"": ""b834fb76-a8ed-4e48-b60e-7290833c60c1"", ""line_type"": ""service"", ""smart_code"": ""HERA.SALON.TXN.SERVICE.COMPLETE.V1"", ""description"": ""Kerasmooth"", ""line_amount"": 900, ""line_number"": 2, ""unit_amount"": 900, ""discount_amount"": 0}",2025-10-25 10:49:58.213573+00,2025-10-25 10:49:58.213573+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,900.00
bef9fbfd-7f07-4b6d-9f4e-858adae99c4f,378f24fb-d496-4ff7-8afa-ea34895a0eb8,ff8cc11a-e829-4c2e-889e-dd4d49532cef,3,8270ef88-a7d3-4d8b-b580-87f8f436e410,SERVICE,Hair Spa - Full Blow Dry,1.00000000,200.00000000,200.00000000,0.00000000,0.00000000,HERA.SALON.TXN.SALE.CREATE.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""metadata"": {""staff_id"": ""b5fc250f-f9e3-4a4f-a69c-af44e44caf39"", ""appointment_id"": ""5622fc6c-e03f-4af0-bc2d-d6c1a1d2aa75""}, ""quantity"": 1, ""entity_id"": ""8270ef88-a7d3-4d8b-b580-87f8f436e410"", ""line_type"": ""service"", ""smart_code"": ""HERA.SALON.TXN.SERVICE.COMPLETE.V1"", ""description"": ""Hair Spa - Full Blow Dry"", ""line_amount"": 200, ""line_number"": 3, ""unit_amount"": 200, ""discount_amount"": 0}",2025-10-25 10:49:58.213573+00,2025-10-25 10:49:58.213573+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,200.00
b317824e-f0ec-4186-99f2-2614a39c4550,378f24fb-d496-4ff7-8afa-ea34895a0eb8,ff8cc11a-e829-4c2e-889e-dd4d49532cef,4,,TAX,VAT (5.0%),1.00000000,107.50000000,107.50000000,0.00000000,0.00000000,HERA.SALON.TXN.SALE.CREATE.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""quantity"": 1, ""entity_id"": null, ""line_type"": ""tax"", ""smart_code"": ""HERA.SALON.TAX.VAT.TXN.V1"", ""description"": ""VAT (5.0%)"", ""line_amount"": 107.5, ""line_number"": 4, ""unit_amount"": 107.5}",2025-10-25 10:49:58.213573+00,2025-10-25 10:49:58.213573+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,107.50
e7e99794-4c95-4a05-84b3-b1e0e560daaa,378f24fb-d496-4ff7-8afa-ea34895a0eb8,ff8cc11a-e829-4c2e-889e-dd4d49532cef,5,,PAYMENT,Payment - CARD,1.00000000,2257.50000000,2257.50000000,0.00000000,0.00000000,HERA.SALON.TXN.SALE.CREATE.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""metadata"": {""reference"": """", ""payment_method"": ""card""}, ""quantity"": 1, ""entity_id"": null, ""line_type"": ""payment"", ""smart_code"": ""HERA.SALON.POS.PAYMENT.CARD.V1"", ""description"": ""Payment - CARD"", ""line_amount"": 2257.5, ""line_number"": 5, ""unit_amount"": 2257.5}",2025-10-25 10:49:58.213573+00,2025-10-25 10:49:58.213573+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,2257.50
a6985a27-9617-4e56-abbe-afd98fbe36d9,378f24fb-d496-4ff7-8afa-ea34895a0eb8,c84ce58e-6a27-4504-93eb-f77f71d963f4,1,629a3c13-6644-43b5-9218-938cfb4fcc14,SERVICE,Hair cut,1.00000000,200.00000000,200.00000000,0.00000000,0.00000000,HERA.SALON.TXN.SALE.CREATE.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""metadata"": {""staff_id"": ""b5fc250f-f9e3-4a4f-a69c-af44e44caf39"", ""appointment_id"": ""b187a64a-0e62-4358-8206-c71504c7ee96""}, ""quantity"": 1, ""entity_id"": ""629a3c13-6644-43b5-9218-938cfb4fcc14"", ""line_type"": ""service"", ""smart_code"": ""HERA.SALON.TXN.SERVICE.COMPLETE.V1"", ""description"": ""Hair cut"", ""line_amount"": 200, ""line_number"": 1, ""unit_amount"": 200, ""discount_amount"": 0}",2025-10-25 11:07:19.664097+00,2025-10-25 11:07:19.664097+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,200.00
32aabe9b-1a24-4a57-b6cb-a576ffd257e0,378f24fb-d496-4ff7-8afa-ea34895a0eb8,c84ce58e-6a27-4504-93eb-f77f71d963f4,2,,TAX,VAT (5.0%),1.00000000,10.00000000,10.00000000,0.00000000,0.00000000,HERA.SALON.TXN.SALE.CREATE.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""quantity"": 1, ""entity_id"": null, ""line_type"": ""tax"", ""smart_code"": ""HERA.SALON.TAX.VAT.TXN.V1"", ""description"": ""VAT (5.0%)"", ""line_amount"": 10, ""line_number"": 2, ""unit_amount"": 10}",2025-10-25 11:07:19.664097+00,2025-10-25 11:07:19.664097+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,10.00
3fc31dd0-d7ba-41d5-b961-99179917b500,378f24fb-d496-4ff7-8afa-ea34895a0eb8,c84ce58e-6a27-4504-93eb-f77f71d963f4,3,,PAYMENT,Payment - CASH,1.00000000,210.00000000,210.00000000,0.00000000,0.00000000,HERA.SALON.TXN.SALE.CREATE.LINE.GENERIC.v1,DRAFT,0.0000,,{},"{""metadata"": {""reference"": """", ""payment_method"": ""cash""}, ""quantity"": 1, ""entity_id"": null, ""line_type"": ""payment"", ""smart_code"": ""HERA.SALON.POS.PAYMENT.CASH.V1"", ""description"": ""Payment - CASH"", ""line_amount"": 210, ""line_number"": 3, ""unit_amount"": 210}",2025-10-25 11:07:19.664097+00,2025-10-25 11:07:19.664097+00,d794e63a-2d70-4b65-b560-0df667de221e,d794e63a-2d70-4b65-b560-0df667de221e,1,210.00
d5d60881-4073-43d2-95a5-cdc2aa9bcbad,378f24fb-d496-4ff7-8afa-ea34895a0eb8,09d947f5-a6db-4da9-99b3-869e518b8915,1,,service,Premium Hair Cut & Style,1.00000000,120.00000000,120.00000000,0.00000000,0.00000000,HERA.SALON.APPOINTMENT.LINE.HAIRCUT.v1,DRAFT,0.0000,,{},"{""notes"": ""Premium cut with styling"", ""stylist"": ""Michele (Owner)"", ""service_name"": ""Premium Hair Cut & Style"", ""scheduled_time"": ""2025-10-31T15:18:35.779Z"", ""duration_minutes"": 90}",2025-10-26 15:18:35.862856+00,2025-10-26 15:18:35.862856+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1,120.00
4e25fe73-6dd5-4c7b-9a1f-191b277e42a1,378f24fb-d496-4ff7-8afa-ea34895a0eb8,09d947f5-a6db-4da9-99b3-869e518b8915,2,,service,Deep Conditioning Treatment,1.00000000,65.00000000,65.00000000,0.00000000,0.00000000,HERA.SALON.APPOINTMENT.LINE.TREATMENT.v1,DRAFT,0.0000,,{},"{""service_name"": ""Deep Conditioning Treatment"", ""treatment_type"": ""keratin_conditioning"", ""duration_minutes"": 30}",2025-10-26 15:18:35.862856+00,2025-10-26 15:18:35.862856+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1,65.00
7d5a56cb-fc20-44ee-baf7-cf5ebd92066b,378f24fb-d496-4ff7-8afa-ea34895a0eb8,8afb9d00-0aa7-4ad3-aa06-ff01599bcc9f,1,,service,Premium Hair Cut & Style - COMPLETED,1.00000000,120.00000000,120.00000000,0.00000000,0.00000000,HERA.SALON.SALE.LINE.HAIRCUT.v1,DRAFT,0.0000,,{},"{""stylist"": ""Michele (Owner)"", ""completion_time"": ""2025-10-26T15:18:36.909Z"", ""service_completed"": true, ""customer_satisfaction"": ""excellent""}",2025-10-26 15:18:36.992708+00,2025-10-26 15:18:36.992708+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1,120.00
87ff9cfa-7c9f-4af8-b0c3-d46d482b2288,378f24fb-d496-4ff7-8afa-ea34895a0eb8,8afb9d00-0aa7-4ad3-aa06-ff01599bcc9f,2,,service,Deep Conditioning Treatment - COMPLETED,1.00000000,65.00000000,65.00000000,0.00000000,0.00000000,HERA.SALON.SALE.LINE.TREATMENT.v1,DRAFT,0.0000,,{},"{""results"": ""hair_significantly_improved"", ""treatment_type"": ""keratin_conditioning"", ""service_completed"": true}",2025-10-26 15:18:36.992708+00,2025-10-26 15:18:36.992708+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1,65.00
